Input Length: 16384
Nova-based SHA256 compression function iterations
=========================================================
Prepare Nova ProverParams & VerifierParams
Initialize FoldingScheme
PublicParams::setup, took 1.69386825s 
Generating a RecursiveSNARK...
Nova::prove_step 0: 423.574584ms
Nova::prove_step 1: 407.1915ms
Nova::prove_step 2: 534.445084ms
Nova::prove_step 3: 538.213459ms
Nova::prove_step 4: 567.787458ms
Nova::prove_step 5: 538.09575ms
Nova::prove_step 6: 526.328834ms
Nova::prove_step 7: 530.826667ms
Nova::prove_step 8: 535.952791ms
Nova::prove_step 9: 535.115333ms
Nova::prove_step 10: 526.207542ms
Nova::prove_step 11: 521.2755ms
Nova::prove_step 12: 528.24ms
Nova::prove_step 13: 526.561333ms
Nova::prove_step 14: 524.877583ms
Nova::prove_step 15: 527.413291ms
Nova::prove_step 16: 536.658ms
Nova::prove_step 17: 522.882167ms
Nova::prove_step 18: 524.069375ms
Nova::prove_step 19: 538.606292ms
Nova::prove_step 20: 523.115417ms
Nova::prove_step 21: 528.792958ms
Nova::prove_step 22: 527.4245ms
Nova::prove_step 23: 527.813667ms
Nova::prove_step 24: 530.344166ms
Nova::prove_step 25: 526.604541ms
Nova::prove_step 26: 526.077209ms
Nova::prove_step 27: 547.844292ms
Nova::prove_step 28: 526.37325ms
Nova::prove_step 29: 525.77525ms
Nova::prove_step 30: 539.0125ms
Nova::prove_step 31: 519.155916ms
Nova::prove_step 32: 533.780375ms
Nova::prove_step 33: 530.547042ms
Nova::prove_step 34: 533.682458ms
Nova::prove_step 35: 528.88025ms
Nova::prove_step 36: 526.021125ms
Nova::prove_step 37: 516.434583ms
Nova::prove_step 38: 535.911042ms
Nova::prove_step 39: 525.772542ms
Nova::prove_step 40: 530.426125ms
Nova::prove_step 41: 552.674125ms
Nova::prove_step 42: 542.665208ms
Nova::prove_step 43: 530.993583ms
Nova::prove_step 44: 527.843792ms
Nova::prove_step 45: 550.719375ms
Nova::prove_step 46: 530.779958ms
Nova::prove_step 47: 530.731625ms
Nova::prove_step 48: 524.949875ms
Nova::prove_step 49: 523.518917ms
Nova::prove_step 50: 539.004666ms
Nova::prove_step 51: 520.370417ms
Nova::prove_step 52: 524.368292ms
Nova::prove_step 53: 538.715667ms
Nova::prove_step 54: 542.95ms
Nova::prove_step 55: 527.32425ms
Nova::prove_step 56: 521.718042ms
Nova::prove_step 57: 536.037875ms
Nova::prove_step 58: 524.828417ms
Nova::prove_step 59: 522.510083ms
Nova::prove_step 60: 527.340125ms
Nova::prove_step 61: 520.969917ms
Nova::prove_step 62: 522.682166ms
Nova::prove_step 63: 523.1955ms
Nova::prove_step 64: 680.651208ms
Nova::prove_step 65: 554.284583ms
Nova::prove_step 66: 539.131292ms
Nova::prove_step 67: 523.073291ms
Nova::prove_step 68: 533.232333ms
Nova::prove_step 69: 527.489541ms
Nova::prove_step 70: 521.502333ms
Nova::prove_step 71: 535.059791ms
Nova::prove_step 72: 527.192208ms
Nova::prove_step 73: 527.688ms
Nova::prove_step 74: 525.832ms
Nova::prove_step 75: 529.9215ms
Nova::prove_step 76: 542.009292ms
Nova::prove_step 77: 532.49625ms
Nova::prove_step 78: 527.609459ms
Nova::prove_step 79: 524.4455ms
Nova::prove_step 80: 530.473625ms
Nova::prove_step 81: 529.767833ms
Nova::prove_step 82: 525.086417ms
Nova::prove_step 83: 543.209916ms
Nova::prove_step 84: 527.505959ms
Nova::prove_step 85: 556.242458ms
Nova::prove_step 86: 527.930334ms
Nova::prove_step 87: 520.37525ms
Nova::prove_step 88: 524.313458ms
Nova::prove_step 89: 530.4665ms
Nova::prove_step 90: 528.281125ms
Nova::prove_step 91: 524.014292ms
Nova::prove_step 92: 525.218292ms
Nova::prove_step 93: 523.480334ms
Nova::prove_step 94: 533.012458ms
Nova::prove_step 95: 527.671084ms
Nova::prove_step 96: 525.751541ms
Nova::prove_step 97: 538.227708ms
Nova::prove_step 98: 536.709292ms
Nova::prove_step 99: 521.189417ms
Nova::prove_step 100: 521.193792ms
Nova::prove_step 101: 543.902292ms
Nova::prove_step 102: 529.996125ms
Nova::prove_step 103: 520.976ms
Nova::prove_step 104: 521.772125ms
Nova::prove_step 105: 523.210917ms
Nova::prove_step 106: 634.443709ms
Nova::prove_step 107: 534.904375ms
Nova::prove_step 108: 526.671ms
Nova::prove_step 109: 536.3075ms
Nova::prove_step 110: 524.83325ms
Nova::prove_step 111: 530.949417ms
Nova::prove_step 112: 524.218875ms
Nova::prove_step 113: 520.977583ms
Nova::prove_step 114: 538.567792ms
Nova::prove_step 115: 525.336792ms
Nova::prove_step 116: 533.951459ms
Nova::prove_step 117: 549.818041ms
Nova::prove_step 118: 536.710417ms
Nova::prove_step 119: 527.98875ms
Nova::prove_step 120: 524.445916ms
Nova::prove_step 121: 528.856291ms
Nova::prove_step 122: 525.098291ms
Nova::prove_step 123: 527.183125ms
Nova::prove_step 124: 531.012333ms
Nova::prove_step 125: 538.9785ms
Nova::prove_step 126: 526.986542ms
Nova::prove_step 127: 524.433166ms
Nova::prove_step 128: 524.623375ms
Nova::prove_step 129: 527.3945ms
Nova::prove_step 130: 528.478583ms
Nova::prove_step 131: 523.766667ms
Nova::prove_step 132: 524.09375ms
Nova::prove_step 133: 530.856208ms
Nova::prove_step 134: 526.018667ms
Nova::prove_step 135: 529.100292ms
Nova::prove_step 136: 529.632208ms
Nova::prove_step 137: 525.749417ms
Nova::prove_step 138: 525.055292ms
Nova::prove_step 139: 526.117875ms
Nova::prove_step 140: 533.316709ms
Nova::prove_step 141: 526.700959ms
Nova::prove_step 142: 525.622041ms
Nova::prove_step 143: 524.215417ms
Nova::prove_step 144: 522.552875ms
Nova::prove_step 145: 540.569166ms
Nova::prove_step 146: 516.75175ms
Nova::prove_step 147: 525.075666ms
Nova::prove_step 148: 526.444583ms
Nova::prove_step 149: 522.590834ms
Nova::prove_step 150: 529.617375ms
Nova::prove_step 151: 531.211375ms
Nova::prove_step 152: 522.668625ms
Nova::prove_step 153: 545.961333ms
Nova::prove_step 154: 532.877417ms
Nova::prove_step 155: 520.199916ms
Nova::prove_step 156: 534.077625ms
Nova::prove_step 157: 523.835583ms
Nova::prove_step 158: 529.63175ms
Nova::prove_step 159: 521.642292ms
Nova::prove_step 160: 518.579459ms
Nova::prove_step 161: 532.767042ms
Nova::prove_step 162: 523.397375ms
Nova::prove_step 163: 527.230625ms
Nova::prove_step 164: 525.575917ms
Nova::prove_step 165: 525.056208ms
Nova::prove_step 166: 523.468583ms
Nova::prove_step 167: 529.699292ms
Nova::prove_step 168: 528.834791ms
Nova::prove_step 169: 525.550125ms
Nova::prove_step 170: 539.535334ms
Nova::prove_step 171: 533.412792ms
Nova::prove_step 172: 531.73925ms
Nova::prove_step 173: 531.050916ms
Nova::prove_step 174: 522.968792ms
Nova::prove_step 175: 529.530208ms
Nova::prove_step 176: 523.762834ms
Nova::prove_step 177: 677.816708ms
Nova::prove_step 178: 541.987875ms
Nova::prove_step 179: 538.064292ms
Nova::prove_step 180: 526.0185ms
Nova::prove_step 181: 546.341833ms
Nova::prove_step 182: 520.348875ms
Nova::prove_step 183: 537.802584ms
Nova::prove_step 184: 523.267375ms
Nova::prove_step 185: 533.512917ms
Nova::prove_step 186: 522.948583ms
Nova::prove_step 187: 522.310875ms
Nova::prove_step 188: 524.414667ms
Nova::prove_step 189: 520.763417ms
Nova::prove_step 190: 530.288292ms
Nova::prove_step 191: 523.864792ms
Nova::prove_step 192: 521.4475ms
Nova::prove_step 193: 518.788083ms
Nova::prove_step 194: 526.42875ms
Nova::prove_step 195: 525.942334ms
Nova::prove_step 196: 525.624333ms
Nova::prove_step 197: 549.073125ms
Nova::prove_step 198: 532.041875ms
Nova::prove_step 199: 524.531917ms
Nova::prove_step 200: 534.986041ms
Nova::prove_step 201: 524.762ms
Nova::prove_step 202: 535.752875ms
Nova::prove_step 203: 525.729292ms
Nova::prove_step 204: 523.4515ms
Nova::prove_step 205: 535.327292ms
Nova::prove_step 206: 529.847083ms
Nova::prove_step 207: 526.818ms
Nova::prove_step 208: 525.954875ms
Nova::prove_step 209: 531.675625ms
Nova::prove_step 210: 535.561125ms
Nova::prove_step 211: 529.15425ms
Nova::prove_step 212: 523.637666ms
Nova::prove_step 213: 532.099416ms
Nova::prove_step 214: 522.468125ms
Nova::prove_step 215: 558.540792ms
Nova::prove_step 216: 521.149208ms
Nova::prove_step 217: 523.646334ms
Nova::prove_step 218: 534.242833ms
Nova::prove_step 219: 521.6405ms
Nova::prove_step 220: 522.939ms
Nova::prove_step 221: 530.267167ms
Nova::prove_step 222: 548.734083ms
Nova::prove_step 223: 525.732209ms
Nova::prove_step 224: 526.793166ms
Nova::prove_step 225: 521.486625ms
Nova::prove_step 226: 527.90425ms
Nova::prove_step 227: 542.163916ms
Nova::prove_step 228: 527.7895ms
Nova::prove_step 229: 536.03625ms
Nova::prove_step 230: 534.818708ms
Nova::prove_step 231: 525.789458ms
Nova::prove_step 232: 529.354ms
Nova::prove_step 233: 543.633542ms
Nova::prove_step 234: 527.362417ms
Nova::prove_step 235: 525.094959ms
Nova::prove_step 236: 521.818208ms
Nova::prove_step 237: 525.427584ms
Nova::prove_step 238: 529.364292ms
Nova::prove_step 239: 521.121209ms
Nova::prove_step 240: 523.309459ms
Nova::prove_step 241: 523.300958ms
Nova::prove_step 242: 526.942917ms
Nova::prove_step 243: 536.232125ms
Nova::prove_step 244: 528.888417ms
Nova::prove_step 245: 530.946875ms
Nova::prove_step 246: 529.204416ms
Nova::prove_step 247: 522.847708ms
Nova::prove_step 248: 520.148167ms
Nova::prove_step 249: 522.817875ms
Nova::prove_step 250: 529.364166ms
Nova::prove_step 251: 540.8305ms
Nova::prove_step 252: 524.408334ms
Nova::prove_step 253: 525.593209ms
Nova::prove_step 254: 552.575791ms
Nova::prove_step 255: 529.705542ms
Nova::prove_step 256: 523.620083ms
Total time taken by RecursiveSNARK::prove_steps: 136.268987625s
Run the Nova's IVC verifier
RecursiveSNARK::verify took 45.570583ms
